"Outcome of tourism by Year and Items"

"Year";"     Visits serviced by accommodation establishments (Thous. Visits)";"Foreign visitors (Thous. Visits)";"Home visitors (Thous. Visits)";"Vietnamese persons travelling abroad (Thous. Visits)"
"2000";10330.0;7674.0;2656.0;99.0
"2001";14092.0;9982.0;4110.0;97.0
"2002";19610.6;14676.4;4934.2;97.8
"2003";20684.2;16497.0;4187.2;150.7
"2004";24102.2;18426.0;5676.2;596.0
"2005";26905.1;21578.5;5326.6;370.6
"2006";28107.3;22263.2;5844.1;403.0
"2007";35058.9;27023.1;8035.8;360.8
"2008";40351.9;33618.6;6733.3;376.1
"2009";54323.4;46728.1;7595.3;455.7
"2010";66535.2;57897.3;8637.9;433.4
"2011";71216.3;61405.4;9810.9;461.0
"2012";79680.0;70085.4;9594.6;404.5
"2013";87432.9;77863.8;9569.1;390.7
"2014";100441.5;90571.6;9869.9;429.6
"2015";114011.0;102200.0;11811.0;584.3
