"Water flow of some main rivers by Station, Water flow and Year"

"Station";"Deepest 2002";"Deepest 2003";"Deepest 2004";"Deepest 2005";"Deepest 2006";"Deepest 2007";"Deepest 2008";"Deepest 2009";"Deepest 2010";"Deepest 2011";"Deepest 2012";"Deepest 2013";"Deepest 2014";"Deepest 2015";"Deepest 2016";"Most shallow 2002";"Most shallow 2003";"Most shallow 2004";"Most shallow 2005";"Most shallow 2006";"Most shallow 2007";"Most shallow 2008";"Most shallow 2009";"Most shallow 2010";"Most shallow 2011";"Most shallow 2012";"Most shallow 2013";"Most shallow 2014";"Most shallow 2015";"Most shallow 2016"
"Da river - Lai Chau station";7950;7000;4580;..;8620;9060;593;3630;2940;3220;3500;4690;5150;2820;3200;238;255;251;..;314;121;99;71;362;108;125;89;96;25;26
"Da river - Hoa Binh station";10600;6990;9910;8390;10200;11800;8280;7490;3040;3070;7320;3070;4030;2840;3220;432;428;229;176;161;128;229;112;70;69;68;69;15;15;15
"Thao river - Yen Bai station";609;4660;2560;7450;4390;326;10800;3070;3070;3310;4160;5340;3400;3800;6970;226;166;146;138;142;80;191;135;135;78;117;98;88;89;134
"Red river - Son Tay station";21000;10300;14800;11500;13400;14000;14500;11500;9220;9220;14800;13100;6810;7250;9610;1080;1030;867;979;860;810;700;760;485;485;520;640;640;557;667
"Red river - Ha Noi station";13100;8160;11500;8990;9900;9430;10700;8240;5450;5450;8540;6960;6370;5730;7290;793;710;656;515;400;525;377;340;175;118;133;145;58;132;145
"Cau river - Thai Nguyen station";1590;1250;1300;612;1580;663;1070;..;1370;922;850;..;..;..;..;10;9;10;10;10;11;11;..;12;11;11;..;..;..;..
"Luc Nam river - Chu station";3500;4700;2120;3010;1060;2180;4840;630;2450;2450;1500;2070;2560;2640;..;..;..;..;..;..;0;0;3;1;1;..;..;1;1;..
"Ma river - Xa La station";2580;700;576;..;884;700;3360;1020;683;..;..;1240;1600;3250;1430;27;33;242;..;18;33;27;317;30;..;..;26;25;17;29
"Ma river - Cam Thuy station";2290;3320;2700;4530;3050;6720;4150;1720;2360;2360;3390;2480;1920;4250;..;89;177;128;79;96;81;109;115;83;83;52;94;75;75;..
"Ca river - Dua station";3690;3980;2540;5100;2910;5140;4610;4470;3640;3580;4890;5280;2040;3020;3660;63;51;69;73;106;80;106;96;52;51;110;48;65;39;40
"Ca river - Yen Thuong station";4490;4350;3070;5460;5200;5880;7760;5620;5060;5010;4620;5280;2160;2860;3300;106;102;157;111;105;99;147;90;69;69;135;66;95;26;54
"Mekong river - Tan Chau station";24400;23100;21300;..;20700;..;..;..;21700;..;..;..;..;..;..;-2280;-22;-3050;..;-2830;..;..;..;-2980;..;..;..;..;..;..
"Mekong river - Chau Doc station";6860;5730;6500;6560;6490;..;..;..;6640;..;..;..;..;..;..;-988;-959;-1140;-1240;-1210;..;..;..;-1370;..;..;..;..;..;..
