region,province,quintile,year,income
Red River Delta,Ha Noi,lowest,2010,5420
Red River Delta,Vinh Phuc,lowest,2010,4190
Red River Delta,Bac Ninh,lowest,2010,5340
Red River Delta,Quang Ninh,lowest,2010,4710
Red River Delta,Hai Duong,lowest,2010,4410
Red River Delta,Hai Phong,lowest,2010,5100
Red River Delta,Hung Yen,lowest,2010,4200
Red River Delta,Thai Binh,lowest,2010,4090
Red River Delta,Ha Nam,lowest,2010,4180
Red River Delta,Nam Dinh,lowest,2010,4590
Red River Delta,Ninh Binh,lowest,2010,3730
Northern midlands and mountain areas,Ha Giang,lowest,2010,2590
Northern midlands and mountain areas,Cao Bang,lowest,2010,2250
Northern midlands and mountain areas,Bac Kan,lowest,2010,2550
Northern midlands and mountain areas,Tuyen Quang,lowest,2010,2930
Northern midlands and mountain areas,Lao Cai,lowest,2010,2800
Northern midlands and mountain areas,Yen Bai,lowest,2010,2790
Northern midlands and mountain areas,Thai Nguyen,lowest,2010,3570
Northern midlands and mountain areas,Lang Son,lowest,2010,3050
Northern midlands and mountain areas,Bac Giang,lowest,2010,4030
Northern midlands and mountain areas,Phu Tho,lowest,2010,3810
Northern midlands and mountain areas,Dien Bien,lowest,2010,2150
Northern midlands and mountain areas,Lai Chau,lowest,2010,2160
Northern midlands and mountain areas,Son La,lowest,2010,2580
Northern midlands and mountain areas,Hoa Binh,lowest,2010,2650
Northern Central area and Central coastal area,Thanh Hoa,lowest,2010,2950
Northern Central area and Central coastal area,Nghe An,lowest,2010,2600
Northern Central area and Central coastal area,Ha Tinh,lowest,2010,2780
Northern Central area and Central coastal area,Quang Binh,lowest,2010,3080
Northern Central area and Central coastal area,Quang Tri,lowest,2010,3200
Northern Central area and Central coastal area,Thua Thien-Hue,lowest,2010,3280
Northern Central area and Central coastal area,Da Nang,lowest,2010,6670
Northern Central area and Central coastal area,Quang  Nam,lowest,2010,3260
Northern Central area and Central coastal area,Quang  Ngai,lowest,2010,3210
Northern Central area and Central coastal area,Binh Dinh,lowest,2010,4020
Northern Central area and Central coastal area,Phu Yen,lowest,2010,3420
Northern Central area and Central coastal area,Khanh  Hoa,lowest,2010,3900
Northern Central area and Central coastal area,Ninh  Thuan,lowest,2010,2700
Northern Central area and Central coastal area,Binh Thuan,lowest,2010,4370
Central Highlands,Kon Tum,lowest,2010,3560
Central Highlands,Gia Lai,lowest,2010,2870
Central Highlands,Dak Lak,lowest,2010,2980
Central Highlands,Dak Nong,lowest,2010,2680
Central Highlands,Lam Dong,lowest,2010,3500
South East,Binh Phuoc,lowest,2010,5310
South East,Tay Ninh,lowest,2010,5540
South East,Binh Duong,lowest,2010,9800
South East,Dong Nai,lowest,2010,5760
South East,Ba Ria - Vung Tau,lowest,2010,4860
South East,Ho Chi Minh city,lowest,2010,9650
Mekong River Delta,Long An,lowest,2010,4350
Mekong River Delta,Tien Giang,lowest,2010,4320
Mekong River Delta,Ben Tre,lowest,2010,4210
Mekong River Delta,Tra Vinh,lowest,2010,3360
Mekong River Delta,Vinh Long,lowest,2010,4550
Mekong River Delta,Dong Thap,lowest,2010,3350
Mekong River Delta,An Giang,lowest,2010,4250
Mekong River Delta,Kien  Giang,lowest,2010,3900
Mekong River Delta,Can Tho,lowest,2010,5160
Mekong River Delta,Hau Giang,lowest,2010,3580
Mekong River Delta,Soc Trang,lowest,2010,3420
Mekong River Delta,Bac Lieu,lowest,2010,3960
Mekong River Delta,Ca Mau,lowest,2010,3630
Red River Delta,Ha Noi,highest,2010,48340
Red River Delta,Vinh Phuc,highest,2010,26590
Red River Delta,Bac Ninh,highest,2010,38990
Red River Delta,Quang Ninh,highest,2010,38120
Red River Delta,Hai Duong,highest,2010,26340
Red River Delta,Hai Phong,highest,2010,40690
Red River Delta,Hung Yen,highest,2010,24900
Red River Delta,Thai Binh,highest,2010,23840
Red River Delta,Ha Nam,highest,2010,24560
Red River Delta,Nam Dinh,highest,2010,26350
Red River Delta,Ninh Binh,highest,2010,26210
Northern midlands and mountain areas,Ha Giang,highest,2010,14130
