region,province,year,ratio
Red River Delta,Ha Noi,2010,8.9
Red River Delta,Vinh Phuc,2010,6.3
Red River Delta,Bac Ninh,2010,7.3
Red River Delta,Quang Ninh,2010,8.1
Red River Delta,Hai Duong,2010,6
Red River Delta,Hai Phong,2010,8
Red River Delta,Hung Yen,2010,5.9
Red River Delta,Thai Binh,2010,5.8
Red River Delta,Ha Nam,2010,5.9
Red River Delta,Nam Dinh,2010,5.7
Red River Delta,Ninh Binh,2010,7
Northern midlands and mountain areas,Ha Giang,2010,5.5
Northern midlands and mountain areas,Cao Bang,2010,9
Northern midlands and mountain areas,Bac Kan,2010,7.5
Northern midlands and mountain areas,Tuyen Quang,2010,6.5
Northern midlands and mountain areas,Lao Cai,2010,7.6
Northern midlands and mountain areas,Yen Bai,2010,6.8
Northern midlands and mountain areas,Thai Nguyen,2010,7.5
Northern midlands and mountain areas,Lang Son,2010,7
Northern midlands and mountain areas,Bac Giang,2010,5.8
Northern midlands and mountain areas,Phu Tho,2010,6.8
Northern midlands and mountain areas,Dien Bien,2010,6.7
Northern midlands and mountain areas,Lai Chau,2010,6.9
Northern midlands and mountain areas,Son La,2010,6.8
Northern midlands and mountain areas,Hoa Binh,2010,7.2
Northern Central area and Central coastal area,Thanh Hoa,2010,6
Northern Central area and Central coastal area,Nghe An,2010,7.5
Northern Central area and Central coastal area,Ha Tinh,2010,6.9
Northern Central area and Central coastal area,Quang Binh,2010,7
Northern Central area and Central coastal area,Quang Tri,2010,6.8
Northern Central area and Central coastal area,Thua Thien-Hue,2010,6.8
Northern Central area and Central coastal area,Da Nang,2010,6.6
Northern Central area and Central coastal area,Quang  Nam,2010,6
Northern Central area and Central coastal area,Quang  Ngai,2010,6
Northern Central area and Central coastal area,Binh Dinh,2010,6.4
Northern Central area and Central coastal area,Phu Yen,2010,6.6
Northern Central area and Central coastal area,Khanh  Hoa,2010,7.4
Northern Central area and Central coastal area,Ninh  Thuan,2010,8.9
Northern Central area and Central coastal area,Binh Thuan,2010,5.4
Central Highlands,Kon Tum,2010,6
Central Highlands,Gia Lai,2010,8.2
Central Highlands,Dak Lak,2010,8.3
Central Highlands,Dak Nong,2010,9.4
Central Highlands,Lam Dong,2010,8.3
South East,Binh Phuoc,2010,6.7
South East,Tay Ninh,2010,6.3
South East,Binh Duong,2010,7.2
South East,Dong Nai,2010,6.6
South East,Ba Ria - Vung Tau,2010,8.6
South East,Ho Chi Minh city,2010,6.7
Mekong River Delta,Long An,2010,6.6
Mekong River Delta,Tien Giang,2010,6.9
Mekong River Delta,Ben Tre,2010,6.8
Mekong River Delta,Tra Vinh,2010,7.7
Mekong River Delta,Vinh Long,2010,6
Mekong River Delta,Dong Thap,2010,7.9
Mekong River Delta,An Giang,2010,7.2
Mekong River Delta,Kien  Giang,2010,8.3
Mekong River Delta,Can Tho,2010,6.7
Mekong River Delta,Hau Giang,2010,7.1
Mekong River Delta,Soc Trang,2010,7.3
Mekong River Delta,Bac Lieu,2010,7.3
Mekong River Delta,Ca Mau,2010,7.9
Red River Delta,Ha Noi,2012,8.5
Red River Delta,Vinh Phuc,2012,6.5
Red River Delta,Bac Ninh,2012,7.2
Red River Delta,Quang Ninh,2012,8
Red River Delta,Hai Duong,2012,6
Red River Delta,Hai Phong,2012,7.7
Red River Delta,Hung Yen,2012,5.5
Red River Delta,Thai Binh,2012,5.7
Red River Delta,Ha Nam,2012,5.9
Red River Delta,Nam Dinh,2012,6.1
Red River Delta,Ninh Binh,2012,6.8
Northern midlands and mountain areas,Ha Giang,2012,5.9
Northern midlands and mountain areas,Cao Bang,2012,9.1
Northern midlands and mountain areas,Bac Kan,2012,7.7
Northern midlands and mountain areas,Tuyen Quang,2012,6.8
Northern midlands and mountain areas,Lao Cai,2012,7.8
Northern midlands and mountain areas,Yen Bai,2012,7.1
Northern midlands and mountain areas,Thai Nguyen,2012,7.7
Northern midlands and mountain areas,Lang Son,2012,7
Northern midlands and mountain areas,Bac Giang,2012,6.2
Northern midlands and mountain areas,Phu Tho,2012,6.9
Northern midlands and mountain areas,Dien Bien,2012,6.9
Northern midlands and mountain areas,Lai Chau,2012,7.1
Northern midlands and mountain areas,Son La,2012,7
Northern midlands and mountain areas,Hoa Binh,2012,7.1
Northern Central area and Central coastal area,Thanh Hoa,2012,6.2
Northern Central area and Central coastal area,Nghe An,2012,8.1
Northern Central area and Central coastal area,Ha Tinh,2012,6.9
Northern Central area and Central coastal area,Quang Binh,2012,7.5
Northern Central area and Central coastal area,Quang Tri,2012,7
Northern Central area and Central coastal area,Thua Thien-Hue,2012,6.5
Northern Central area and Central coastal area,Da Nang,2012,6.4
Northern Central area and Central coastal area,Quang  Nam,2012,6.5
Northern Central area and Central coastal area,Quang  Ngai,2012,6.2
Northern Central area and Central coastal area,Binh Dinh,2012,6.5
Northern Central area and Central coastal area,Phu Yen,2012,6.6
Northern Central area and Central coastal area,Khanh  Hoa,2012,7.3
Northern Central area and Central coastal area,Ninh  Thuan,2012,8.4
Northern Central area and Central coastal area,Binh Thuan,2012,5.4
Central Highlands,Kon Tum,2012,6.5
Central Highlands,Gia Lai,2012,8.3
Central Highlands,Dak Lak,2012,8.4
Central Highlands,Dak Nong,2012,9.5
Central Highlands,Lam Dong,2012,8.3
South East,Binh Phuoc,2012,6.7
South East,Tay Ninh,2012,6.1
South East,Binh Duong,2012,6.9
South East,Dong Nai,2012,6.1
South East,Ba Ria - Vung Tau,2012,8.3
South East,Ho Chi Minh city,2012,6.5
Mekong River Delta,Long An,2012,6.6
Mekong River Delta,Tien Giang,2012,6.9
Mekong River Delta,Ben Tre,2012,7.1
Mekong River Delta,Tra Vinh,2012,8.3
Mekong River Delta,Vinh Long,2012,6
Mekong River Delta,Dong Thap,2012,8
Mekong River Delta,An Giang,2012,7.4
Mekong River Delta,Kien  Giang,2012,8.5
Mekong River Delta,Can Tho,2012,6.9
Mekong River Delta,Hau Giang,2012,7.4
Mekong River Delta,Soc Trang,2012,7.5
Mekong River Delta,Bac Lieu,2012,7.1
Mekong River Delta,Ca Mau,2012,7.9
Red River Delta,Ha Noi,2014,8.5
Red River Delta,Vinh Phuc,2014,6.5
Red River Delta,Bac Ninh,2014,6.5
Red River Delta,Quang Ninh,2014,8
Red River Delta,Hai Duong,2014,6
Red River Delta,Hai Phong,2014,7.7
Red River Delta,Hung Yen,2014,5.5
Red River Delta,Thai Binh,2014,5.9
Red River Delta,Ha Nam,2014,6.1
Red River Delta,Nam Dinh,2014,6.1
Red River Delta,Ninh Binh,2014,6.8
Northern midlands and mountain areas,Ha Giang,2014,5.9
Northern midlands and mountain areas,Cao Bang,2014,9.1
Northern midlands and mountain areas,Bac Kan,2014,7.8
Northern midlands and mountain areas,Tuyen Quang,2014,6.8
Northern midlands and mountain areas,Lao Cai,2014,7.8
Northern midlands and mountain areas,Yen Bai,2014,7.3
Northern midlands and mountain areas,Thai Nguyen,2014,7.7
Northern midlands and mountain areas,Lang Son,2014,7
Northern midlands and mountain areas,Bac Giang,2014,6.4
Northern midlands and mountain areas,Phu Tho,2014,6.9
Northern midlands and mountain areas,Dien Bien,2014,7
Northern midlands and mountain areas,Lai Chau,2014,7.2
Northern midlands and mountain areas,Son La,2014,7.1
Northern midlands and mountain areas,Hoa Binh,2014,7.2
Northern Central area and Central coastal area,Thanh Hoa,2014,6.3
Northern Central area and Central coastal area,Nghe An,2014,8.2
Northern Central area and Central coastal area,Ha Tinh,2014,6.9
Northern Central area and Central coastal area,Quang Binh,2014,7.7
Northern Central area and Central coastal area,Quang Tri,2014,7.1
Northern Central area and Central coastal area,Thua Thien-Hue,2014,6.6
Northern Central area and Central coastal area,Da Nang,2014,6.4
Northern Central area and Central coastal area,Quang  Nam,2014,6.5
Northern Central area and Central coastal area,Quang  Ngai,2014,6.3
Northern Central area and Central coastal area,Binh Dinh,2014,6.5
Northern Central area and Central coastal area,Phu Yen,2014,6.5
Northern Central area and Central coastal area,Khanh  Hoa,2014,7.3
Northern Central area and Central coastal area,Ninh  Thuan,2014,8.5
Northern Central area and Central coastal area,Binh Thuan,2014,5.4
Central Highlands,Kon Tum,2014,7
Central Highlands,Gia Lai,2014,8.5
Central Highlands,Dak Lak,2014,8.5
Central Highlands,Dak Nong,2014,9.7
Central Highlands,Lam Dong,2014,8.3
South East,Binh Phuoc,2014,6.7
South East,Tay Ninh,2014,6.2
South East,Binh Duong,2014,7
South East,Dong Nai,2014,6.1
South East,Ba Ria - Vung Tau,2014,8.4
South East,Ho Chi Minh city,2014,6.5
Mekong River Delta,Long An,2014,6.6
Mekong River Delta,Tien Giang,2014,6.8
Mekong River Delta,Ben Tre,2014,7.1
Mekong River Delta,Tra Vinh,2014,8.3
Mekong River Delta,Vinh Long,2014,6
Mekong River Delta,Dong Thap,2014,7.7
Mekong River Delta,An Giang,2014,7.4
Mekong River Delta,Kien  Giang,2014,8.6
Mekong River Delta,Can Tho,2014,6.4
Mekong River Delta,Hau Giang,2014,7.4
Mekong River Delta,Soc Trang,2014,7.6
Mekong River Delta,Bac Lieu,2014,7.1
Mekong River Delta,Ca Mau,2014,7.9
Red River Delta,Ha Noi,2016,8.5
Red River Delta,Vinh Phuc,2016,6.5
Red River Delta,Bac Ninh,2016,6.5
Red River Delta,Quang Ninh,2016,8
Red River Delta,Hai Duong,2016,6
Red River Delta,Hai Phong,2016,7.7
Red River Delta,Hung Yen,2016,5.5
Red River Delta,Thai Binh,2016,5.9
Red River Delta,Ha Nam,2016,6.1
Red River Delta,Nam Dinh,2016,6.1
Red River Delta,Ninh Binh,2016,6.8
Northern midlands and mountain areas,Ha Giang,2016,6.2
Northern midlands and mountain areas,Cao Bang,2016,9.3
Northern midlands and mountain areas,Bac Kan,2016,7.9
Northern midlands and mountain areas,Tuyen Quang,2016,6.8
Northern midlands and mountain areas,Lao Cai,2016,7.9
Northern midlands and mountain areas,Yen Bai,2016,7.8
Northern midlands and mountain areas,Thai Nguyen,2016,7.7
Northern midlands and mountain areas,Lang Son,2016,7.1
Northern midlands and mountain areas,Bac Giang,2016,6.5
Northern midlands and mountain areas,Phu Tho,2016,6.9
Northern midlands and mountain areas,Dien Bien,2016,7.1
Northern midlands and mountain areas,Lai Chau,2016,7.3
Northern midlands and mountain areas,Son La,2016,7.2
Northern midlands and mountain areas,Hoa Binh,2016,7.4
Northern Central area and Central coastal area,Thanh Hoa,2016,6.6
Northern Central area and Central coastal area,Nghe An,2016,8.4
Northern Central area and Central coastal area,Ha Tinh,2016,7
Northern Central area and Central coastal area,Quang Binh,2016,7.9
Northern Central area and Central coastal area,Quang Tri,2016,7.2
Northern Central area and Central coastal area,Thua Thien-Hue,2016,6.6
Northern Central area and Central coastal area,Da Nang,2016,6.4
Northern Central area and Central coastal area,Quang  Nam,2016,6.6
Northern Central area and Central coastal area,Quang  Ngai,2016,6.6
Northern Central area and Central coastal area,Binh Dinh,2016,6.5
Northern Central area and Central coastal area,Phu Yen,2016,6.5
Northern Central area and Central coastal area,Khanh  Hoa,2016,7.3
Northern Central area and Central coastal area,Ninh  Thuan,2016,8.5
Northern Central area and Central coastal area,Binh Thuan,2016,5.4
Central Highlands,Kon Tum,2016,7.2
Central Highlands,Gia Lai,2016,8.8
Central Highlands,Dak Lak,2016,8.7
Central Highlands,Dak Nong,2016,9.7
Central Highlands,Lam Dong,2016,8.4
South East,Binh Phuoc,2016,6.7
South East,Tay Ninh,2016,6.2
South East,Binh Duong,2016,7
South East,Dong Nai,2016,6.1
South East,Ba Ria - Vung Tau,2016,8.6
South East,Ho Chi Minh city,2016,6.5
Mekong River Delta,Long An,2016,6.6
Mekong River Delta,Tien Giang,2016,6.8
Mekong River Delta,Ben Tre,2016,7.1
Mekong River Delta,Tra Vinh,2016,8.3
Mekong River Delta,Vinh Long,2016,6.1
Mekong River Delta,Dong Thap,2016,7.7
Mekong River Delta,An Giang,2016,7.4
Mekong River Delta,Kien  Giang,2016,8.8
Mekong River Delta,Can Tho,2016,6.6
Mekong River Delta,Hau Giang,2016,7.4
Mekong River Delta,Soc Trang,2016,7.6
Mekong River Delta,Bac Lieu,2016,7.1
Mekong River Delta,Ca Mau,2016,8.1
